PRODUCTION_YEAR,WHEAT,SOYBEANS,RAPESEED_AND_TURNIPS,GRAIN_CORN_INCLUDING_CCM,AUSTRIA_BARLEY,AUSTRIA_SUGARBEET,AUSTRIA_POTATOES
2011,1781837,109378,179669,2453133,859375,3456227,816070
2014,1804018,118132,198286,2334385,845705,4244219,750637
2017,1437143,193416,116835,2075983,782029,2993710,653400
2019,1604642,215278,107171,2298882,832970,1965150,751264
2010,1517805,94544,170584,1955989,777961,3131666,671722
2012,1275498,104143,148869,2351370,662466,3114426,665416
2013,1597706,82780,196828,1639019,734051,3465791,604051
2015,1725737,136195,111745,1637905,840433,2853282,536473
2016,1970364,152599,141893,2179587,859702,3534415,767261
2018,1370960,184342,120690,2130339,695072,2150192,697931
